Name,Link,Duration
Following,https://en.wikipedia.org/wiki/Following,70
Memento,https://en.wikipedia.org/wiki/Memento_(film),113
Insomnia,https://en.wikipedia.org/wiki/Insomnia_(2002_film),118
Batman Begins,https://en.wikipedia.org/wiki/Batman_Begins,140
The Prestige,https://en.wikipedia.org/wiki/The_Prestige_(film),130
The Dark Knight,https://en.wikipedia.org/wiki/The_Dark_Knight,152
Inception,https://en.wikipedia.org/wiki/Inception,148
The Dark Knight Rises,https://en.wikipedia.org/wiki/The_Dark_Knight_Rises,165
Man of Steel,https://en.wikipedia.org/wiki/Man_of_Steel_(film),143
Interstellar,https://en.wikipedia.org/wiki/Interstellar_(film),169
Dunkirk,https://en.wikipedia.org/wiki/Dunkirk_(2017_film),106
Tenet,https://en.wikipedia.org/wiki/Tenet_(film),150
Oppenheimer,https://en.wikipedia.org/wiki/Oppenheimer_(film),180
